Pedestrian_Involved,Accident Severity,Time of Day,Day of Week,Weather Conditions,Lighting Conditions,Road Type,Road Condition,Traffic Control Presence,Speed Limit (km/h),Number of Vehicles Involved
0,Minor,5:13,Wednesday,Foggy,Daylight,Village Road,Dry,Guard,107,2
1,Minor,8:21,Monday,Clear,Dark,Village Road,Dry,Signs,43,5
1,Minor,1:03,Friday,Snowy,Dusk,Urban Road,Wet,Signs,59,4
0,Minor,18:09,Sunday,Clear,Dusk,Urban Road,Under Construction,Unknown,95,4
0,Minor,4:07,Saturday,Snowy,Dark,Village Road,Under Construction,Unknown,66,3
0,Minor,20:59,Sunday,Rainy,Dusk,Village Road,Wet,Signals,27,1
0,Minor,19:38,Wednesday,Clear,Dawn,Urban Road,Dry,None,73,5
1,Minor,13:26,Tuesday,Rainy,Dawn,Village Road,Wet,None,28,1
0,Minor,13:43,Sunday,Clear,Daylight,Village Road,Dry,Unknown,22,1
1,Minor,0:26,Wednesday,Foggy,Dusk,State Highway,Wet,Signs,73,2
0,Minor,15:06,Wednesday,Stormy,Dawn,Village Road,Dry,Signals,40,2
1,Serious,0:48,Tuesday,Hazy,Dark,National Highway,Icy,None,114,5
1,Minor,14:28,Thursday,Hazy,Dusk,State Highway,Under Construction,Unknown,67,1
0,Minor,16:31,Thursday,Hazy,Dawn,National Highway,Icy,Signs,66,3
0,Minor,4:56,Monday,Rainy,Dawn,Village Road,Under Construction,Signs,107,1
0,Serious,11:46,Monday,Snowy,Dark,Urban Road,Dry,Signs,87,2
0,Minor,15:37,Thursday,Hazy,Daylight,State Highway,Icy,Guard,103,1
0,Serious,22:36,Saturday,Foggy,Dark,Urban Road,Under Construction,Signs,82,4
0,Minor,9:10,Friday,Hazy,Daylight,State Highway,Wet,Unknown,35,4
0,Minor,12:17,Wednesday,Clear,Dawn,Urban Road,Dry,Signals,93,3
0,Minor,16:57,Friday,Rainy,Daylight,State Highway,Dry,Unknown,109,5
0,Minor,1:16,Wednesday,Clear,Dawn,State Highway,Wet,Signs,112,1
0,Minor,21:21,Thursday,Clear,Dawn,National Highway,Wet,Signals,24,4
0,Minor,4:16,Monday,Clear,Dusk,Urban Road,Under Construction,None,30,5
0,Minor,21:56,Saturday,Stormy,Daylight,National Highway,Dry,None,48,4
1,Minor,7:29,Monday,Stormy,Daylight,National Highway,Under Construction,Unknown,98,5
0,Minor,20:39,Friday,Snowy,Daylight,Urban Road,Wet,Signals,89,5
0,Minor,23:48,Monday,Rainy,Dark,State Highway,Dry,Unknown,67,4
0,Minor,18:59,Thursday,Foggy,Dusk,National Highway,Wet,Signals,34,2
0,Minor,15:23,Saturday,Foggy,Dusk,Urban Road,Under Construction,Signals,103,5
0,Minor,19:55,Friday,Foggy,Dusk,State Highway,Under Construction,Unknown,53,1
0,Minor,3:01,Saturday,Clear,Dark,National Highway,Under Construction,Signals,79,4
0,Minor,18:11,Wednesday,Stormy,Daylight,National Highway,Dry,Signs,81,2
1,Minor,15:13,Monday,Rainy,Daylight,National Highway,Wet,Signals,21,4
1,Serious,6:28,Saturday,Clear,Daylight,State Highway,Wet,Signals,99,3
1,Minor,20:39,Tuesday,Stormy,Dusk,National Highway,Under Construction,Unknown,38,1
0,Minor,9:23,Monday,Stormy,Dusk,State Highway,Under Construction,None,117,3
0,Minor,6:51,Wednesday,Hazy,Dawn,Village Road,Under Construction,Guard,68,5
0,Fatal,2:46,Saturday,Hazy,Dark,National Highway,Under Construction,Signals,97,5
0,Serious,14:13,Friday,Rainy,Dark,Village Road,Icy,Guard,107,3
0,Minor,6:41,Wednesday,Rainy,Dusk,Urban Road,Icy,Signals,47,3
0,Minor,3:21,Tuesday,Rainy,Dawn,National Highway,Icy,Unknown,67,5
0,Minor,6:16,Saturday,Clear,Daylight,Urban Road,Under Construction,Unknown,115,2
1,Minor,11:49,Sunday,Snowy,Dusk,Urban Road,Under Construction,Signals,56,1
0,Serious,16:23,Sunday,Rainy,Dark,Urban Road,Wet,Unknown,93,4
0,Minor,14:08,Thursday,Hazy,Dark,Village Road,Dry,Unknown,68,3
0,Minor,15:00,Monday,Snowy,Dark,State Highway,Wet,Signals,67,1
0,Minor,14:27,Friday,Clear,Daylight,Village Road,Icy,None,92,4
0,Serious,23:44,Thursday,Snowy,Dark,Village Road,Wet,Signals,107,4
0,Minor,7:57,Saturday,Foggy,Daylight,Urban Road,Under Construction,None,119,3
1,Minor,4:43,Sunday,Snowy,Daylight,National Highway,Icy,Unknown,48,2
1,Minor,10:57,Sunday,Rainy,Daylight,State Highway,Icy,None,79,2
1,Minor,14:47,Sunday,Clear,Dusk,Urban Road,Dry,Unknown,48,1
1,Minor,1:04,Saturday,Rainy,Daylight,State Highway,Dry,None,77,1
0,Minor,10:03,Sunday,Hazy,Dawn,Village Road,Icy,None,67,5
1,Minor,18:00,Wednesday,Foggy,Dark,State Highway,Icy,Signals,42,2
0,Minor,14:21,Saturday,Hazy,Dusk,State Highway,Wet,None,46,1
0,Fatal,19:40,Friday,Rainy,Dark,National Highway,Icy,Unknown,114,5
0,Minor,17:50,Thursday,Rainy,Daylight,Urban Road,Under Construction,Signals,26,4
0,Minor,5:41,Friday,Rainy,Dusk,State Highway,Wet,None,68,1
0,Minor,1:28,Tuesday,Stormy,Dawn,State Highway,Under Construction,Signals,73,5
0,Minor,14:33,Sunday,Foggy,Daylight,Village Road,Under Construction,Guard,87,2
1,Fatal,2:43,Tuesday,Rainy,Dark,Village Road,Under Construction,Signals,97,4
0,Minor,3:20,Monday,Rainy,Dawn,State Highway,Icy,Guard,61,1
0,Minor,3:53,Monday,Hazy,Daylight,Urban Road,Dry,Guard,93,2
0,Minor,3:38,Tuesday,Hazy,Dawn,State Highway,Dry,Signals,78,4
0,Minor,7:49,Saturday,Rainy,Daylight,State Highway,Under Construction,Unknown,63,3
1,Minor,1:35,Friday,Clear,Dusk,National Highway,Icy,Unknown,117,2
0,Minor,8:53,Tuesday,Stormy,Daylight,Urban Road,Wet,Unknown,45,3
1,Minor,19:37,Monday,Hazy,Dusk,National Highway,Under Construction,Signs,42,1
1,Serious,2:17,Tuesday,Clear,Daylight,Urban Road,Wet,Guard,92,5
0,Minor,9:38,Saturday,Stormy,Daylight,Urban Road,Wet,Signals,27,1
0,Minor,19:04,Tuesday,Rainy,Dark,Urban Road,Icy,Unknown,72,2
1,Minor,11:51,Friday,Foggy,Dawn,National Highway,Icy,Unknown,33,3
1,Minor,20:12,Thursday,Snowy,Dawn,National Highway,Dry,Signals,90,3
1,Minor,23:26,Saturday,Snowy,Dawn,National Highway,Dry,Guard,26,4
1,Minor,22:15,Monday,Rainy,Daylight,Village Road,Icy,Signals,28,1
0,Minor,10:35,Friday,Hazy,Daylight,National Highway,Under Construction,Signs,22,1
0,Minor,17:38,Tuesday,Clear,Daylight,Village Road,Dry,Signs,97,2
0,Minor,17:36,Tuesday,Foggy,Dusk,Village Road,Wet,Signals,36,3
1,Minor,6:53,Thursday,Stormy,Dusk,Village Road,Under Construction,Guard,63,2
0,Serious,3:36,Monday,Rainy,Dark,State Highway,Wet,Unknown,105,2
0,Minor,18:48,Monday,Foggy,Daylight,State Highway,Icy,Signs,65,3
0,Minor,17:49,Wednesday,Foggy,Dawn,State Highway,Wet,Signs,109,2
0,Minor,8:14,Monday,Hazy,Dawn,Village Road,Under Construction,Guard,77,3
0,Minor,23:52,Thursday,Stormy,Dark,Village Road,Icy,Signs,47,2
1,Minor,11:39,Sunday,Foggy,Dawn,Urban Road,Under Construction,Signs,33,5
0,Minor,7:06,Wednesday,Hazy,Dark,Village Road,Wet,Guard,28,2
1,Minor,14:09,Wednesday,Clear,Daylight,State Highway,Under Construction,Signals,45,2
0,Minor,10:31,Tuesday,Hazy,Dawn,Village Road,Icy,Unknown,21,5
0,Minor,5:05,Tuesday,Clear,Daylight,Village Road,Wet,Unknown,94,1
1,Serious,4:03,Monday,Clear,Dusk,Urban Road,Wet,Signs,100,3
1,Minor,3:51,Wednesday,Foggy,Dawn,Village Road,Dry,Unknown,53,4
0,Minor,21:34,Tuesday,Hazy,Dusk,National Highway,Dry,Signals,38,5
1,Minor,6:30,Thursday,Clear,Dawn,Urban Road,Under Construction,Signs,58,1
0,Minor,13:29,Tuesday,Stormy,Daylight,Village Road,Dry,Unknown,101,2
0,Minor,11:02,Saturday,Foggy,Dark,Village Road,Dry,None,32,1
0,Minor,4:17,Saturday,Hazy,Daylight,Urban Road,Dry,None,24,5
0,Minor,14:08,Tuesday,Hazy,Daylight,Village Road,Dry,None,69,2
0,Minor,23:31,Wednesday,Snowy,Daylight,State Highway,Icy,None,42,1
0,Minor,23:20,Sunday,Hazy,Dawn,National Highway,Icy,None,107,4
0,Minor,10:40,Sunday,Foggy,Dark,National Highway,Dry,Signs,48,3
0,Minor,20:30,Wednesday,Stormy,Dusk,State Highway,Under Construction,Guard,91,3
0,Minor,3:41,Friday,Hazy,Daylight,Village Road,Icy,Guard,45,5
1,Minor,17:41,Sunday,Snowy,Dawn,Village Road,Dry,Signs,98,2
0,Minor,22:42,Saturday,Foggy,Dusk,National Highway,Icy,Signs,76,2
0,Minor,11:02,Thursday,Clear,Daylight,Village Road,Wet,Signals,20,3
1,Minor,21:50,Wednesday,Rainy,Dusk,National Highway,Icy,Guard,47,1
0,Minor,0:13,Monday,Rainy,Daylight,National Highway,Icy,None,81,2
0,Minor,14:15,Saturday,Clear,Dusk,State Highway,Under Construction,Signs,66,4
0,Minor,0:55,Thursday,Hazy,Dusk,National Highway,Icy,None,97,4
0,Serious,9:52,Thursday,Rainy,Dark,Village Road,Under Construction,Guard,117,2
